"Class","acc_0","acc_1","acc_2","acc_3","acc_4","acc_5","acc_6","acc_7","acc_8","acc_9","acc_10","acc_11","acc_12","acc_13","acc_14","acc_15","acc_16","acc_17"
1,0.08500949,0.02365443,-0.01993841,-0.07335984,-0.12473723,-0.12056785,-0.08538562,0.00609742,-0.10005573,0.01735419,0.13730391,-0.11258288,0.11960205,0.11253591,0.12728653,-0.0707792,0.12491589,-0.10834141
1,0.10048939,0.15168341,0.05825065,-0.07393591,-0.00187447,-0.10749264,-0.11938403,-0.12701514,-0.15948171,0.13415337,-0.11344196,0.12524919,0.06440607,0.05428007,0.00331541,-0.01880861,0.11106465,-0.0154158
1,-0.02324046,-0.02664002,0.0337055,-0.09157744,-0.04059589,-0.0190096,0.05034573,-0.02763842,-0.00388164,0.00631265,-0.05573488,0.03543798,0.09745007,0.02319164,0.05279644,-0.0004179,-0.02886677,0.01863187
1,-0.0203558,-0.02133854,-0.00227598,-0.12847621,-0.10032604,-0.02917349,0.03401734,0.02699198,-0.00045842,-0.01584573,-0.04033806,0.06626092,0.13413999,0.03526607,0.10980861,-0.00161095,0.0357066,-0.02950818
1,-0.13360461,-0.1240627,-0.07231606,-0.09309622,-0.06810009,-0.03508074,0.1414812,0.03048075,0.12657427,-0.02675827,0.07673645,-0.07196029,0.05594375,0.01527905,0.09308933,0.02153278,-0.03233892,0.04933481
1,0.05078239,0.01606847,0.0408604,-0.03308298,0.02164431,-0.0491366,-0.01020271,-0.05984361,-0.0204027,0.07513268,-0.0494342,0.01540511,0.04065008,0.03918374,-0.00820078,-0.0173037,0.04801959,-0.04604529
1,-0.0460577,-0.05193384,0.04152898,-0.06045895,-0.11820914,0.02254364,0.07578717,0.00513629,0.02156725,-0.01449389,0.05865409,-0.03174664,0.06593784,0.06172792,0.14804068,-0.04586789,-0.06500362,0.01109331
1,-0.04415147,-0.0910705,0.10711917,-0.00294121,-0.01445322,0.06657665,0.09353978,-0.07039402,0.06864316,-0.01356047,0.0106626,0.03560271,-0.02383766,0.02594265,0.02751985,-0.03824371,-0.01269325,0.0009746
1,-0.02048131,-0.0235999,0.02428943,-0.02332606,-0.05238757,-0.03143963,0.08257441,0.00331077,-0.02255637,0.02028044,-0.03063656,0.07952027,0.00785284,0.04366872,0.05544437,0.00623883,-0.02933601,-0.01251869
1,-0.04848729,0.06792064,-0.17030409,-0.06557986,-0.11634207,-0.07337661,0.03455056,0.30363851,-0.04307351,-0.18743245,-0.08499557,0.1216592,0.02256614,0.21019842,0.14351025,-0.12134604,0.06659227,-0.12548779
1,-0.04264308,-0.01890169,-0.08366201,-0.11449451,-0.09264943,-0.01505728,-0.03128524,0.03841998,0.08715862,-0.01894251,0.02176556,-0.02222004,0.09385738,-0.02869013,0.09938308,0.05012745,0.0029593,-0.02428541
1,0.06666892,0.06970561,0.0225014,-0.0233996,-0.07885012,-0.00170198,-0.07166993,-0.05359814,-0.01537376,-0.01776449,-0.02677878,0.02155788,0.01585977,-0.03685514,0.05899119,0.0011389,-0.0452614,0.07640442
1,-0.09361846,-0.05818607,-0.05571954,-0.12851214,-0.08357375,0.05184029,0.08648141,0.10193529,0.09436464,-0.10947135,-0.00033904,0.01344261,0.09875474,-0.01880679,0.12818215,-0.02317568,-0.04125224,0.02225014
1,-0.08114389,-0.08694212,-0.03643618,-0.14808435,-0.12735249,-0.13747342,0.07721639,0.03568011,0.05360021,-0.01495057,-0.00456981,0.03906709,0.12835755,0.0807798,0.12641036,-0.02915948,0.09042894,-0.07095417
1,-0.06183501,-0.07446445,0.03907181,-0.05399265,-0.08536158,-0.07410403,0.12016727,-0.06549479,0.05587541,0.03838552,-0.0274638,-0.00894433,0.08122712,0.07787654,0.03933821,-0.00442778,0.07390893,-0.06185566
1,-0.05542231,-0.08125693,-0.03570083,-0.11139369,-0.11987504,-0.04583525,0.08519412,0.02908281,0.06686586,0.00680124,0.01744466,-0.02254539,0.11369637,0.02765658,0.10411486,-0.01504725,0.08564244,-0.07641308
1,-0.10590115,-0.0847401,0.00649107,-0.08655956,-0.04686721,0.03835477,0.08722066,-0.01911949,0.09237141,0.02302999,0.02690888,-0.01908914,0.053142,-0.06288342,0.08647385,0.04652289,0.04495815,-0.0400805
1,0.00802584,0.03695379,-0.02009884,-0.15471417,-0.11456667,0.05750882,0.01366401,0.05697701,-0.02527442,-0.02360982,-0.07838045,0.07985662,0.11453513,-0.09598894,0.14307616,0.03439769,0.01228437,-0.00172275
1,-0.06930328,-0.09861494,-0.06434014,-0.0603948,-0.12783461,-0.02217402,0.1122068,-0.0434695,0.05627822,0.02611817,0.03197777,0.00298682,0.07078123,0.04805344,0.11785848,-0.01734952,-0.00589223,-0.0294998
1,-0.05696236,-0.06935912,-0.04697691,-0.05753064,-0.14181574,0.01611244,0.0851094,-0.04055872,0.03213466,0.03953677,-0.01289826,0.06861835,0.07436659,-0.04266616,0.11948147,0.05460554,-0.0111035,0.00861547
1,-0.09570295,-0.10982079,-0.0812024,-0.06061012,-0.04973212,0.02612707,0.07063408,0.02710352,0.13517511,-0.04539065,0.04641778,-0.01049826,0.08035826,-0.01030431,0.0335664,0.01317965,-0.06428515,0.0582317
1,-0.08030435,-0.04597133,-0.05787891,-0.09333376,-0.06378859,0.00592114,0.07188457,0.00747814,0.06755524,0.01073144,0.05375729,-0.02315408,0.06540554,0.01224068,0.08086869,-0.04038549,0.00406721,0.0069565
1,-0.09820146,-0.08080928,-0.02443041,-0.12723609,-0.12604612,-0.072381,0.10181104,0.01805725,0.08839105,-0.01912604,0.04637389,-0.02292734,0.13842273,0.0847376,0.10489769,-0.04754822,0.01683221,-0.01328434
1,-0.05232309,-0.07535,0.04642612,-0.0462895,-0.05578117,0.02505526,0.06756465,-0.05622865,0.06962135,0.04045122,0.01038608,0.00452119,0.03359793,0.01911032,0.05551671,0.01028688,0.01523978,-0.01216258
1,-0.00268294,-0.05536022,0.00232714,-0.06762674,-0.07044857,0.02452884,0.0306841,-0.03133209,-0.00019283,0.0792197,0.02139578,-0.00815505,0.07061312,-0.00291417,0.0531459,0.02033421,0.0282701,-0.04052345
1,0.01588809,-0.00470359,0.01013288,-0.08097889,-0.07658026,0.04848924,-0.00902182,-0.05303887,-0.00751061,0.06093538,-0.05155514,0.05353319,0.08287285,-0.05364238,0.07199455,0.03766311,0.05956334,-0.07168683
1,-0.05263444,-0.05979718,-0.00049403,-0.05998225,-0.08654235,-0.08171593,0.03418206,-0.00216454,0.0845298,0.00697772,-0.10242391,0.07729882,0.0858865,0.03105946,0.08329117,-0.0106225,0.06140739,-0.11257351
1,-0.02517844,0.0134245,0.02336457,-0.14275744,-0.06176597,-0.00475937,0.04435812,-0.11618708,-0.04202391,0.08283936,0.06885067,-0.08210196,0.09981179,0.05785161,0.11371937,0.01764988,0.00626432,0.01230466
1,-0.0054492,-0.03814076,0.0001933,-0.13273342,-0.14070781,-0.068401,0.07796386,-0.00447745,-0.03212378,0.07268988,-0.09505339,0.02218596,0.20389427,0.05309072,0.09244435,-0.05818424,0.11278602,-0.067355
1,0.02503551,0.01481967,-0.0173543,-0.08476907,-0.04357331,0.00058336,-0.05734742,-0.02672154,-0.00422611,-0.01881501,0.00059166,0.02327094,0.10343257,-0.07076263,0.05130232,0.07477727,-0.02435661,-0.01087364
1,0.01305943,0.0162543,0.03352615,-0.01343324,-0.09776365,-0.00246647,-0.02842665,0.00706596,-0.00802648,-0.00995656,-0.0366679,0.01102181,0.04931665,-0.0290411,0.10183089,-0.02901927,-0.06707355,0.01468204
1,0.01045407,-0.01942432,-0.01233354,0.08690843,-0.00250695,0.03228022,0.00552432,-0.03976564,0.04829091,0.00311628,-0.0211822,0.01413656,-0.03156842,-0.06436692,-0.04021615,0.0209246,-0.03281806,0.03820039
1,-0.08564823,-0.08751423,-0.02047584,-0.01084482,-0.05027253,-0.02925995,0.10949709,-0.00983756,0.08667166,0.0033722,0.03193302,-0.05591904,0.0113375,0.05014955,0.04306727,-0.06415848,0.0369825,-0.00344315
1,0.01776113,-0.01677372,0.02248128,-0.04073755,-0.0384027,0.03799793,-0.00244099,-0.04781973,0.01765469,0.01573078,-0.031954,-0.00736241,0.04277972,-0.0185427,0.04188221,0.00565188,-0.01100723,0.00869881
1,0.00063079,0.03647506,-0.0623127,-0.0865645,-0.11917439,-0.00399174,-0.01368313,0.0515614,-0.04818528,-0.0219883,0.01084464,0.00193179,0.12770435,-0.07627764,0.06562276,0.11291954,0.0585259,-0.08490505
1,-0.01313442,0.00135642,-0.00244763,-0.01014692,-0.05427911,0.07117267,0.02668217,0.02247559,-0.03610921,-0.0220456,0.01277738,0.03564282,0.02696644,-0.09384379,0.01004151,0.13453151,0.01230634,-0.03016965
